medcode	stdterm	attrstring	linkto	comment
605998	 diverticulum urinary bladder acquired 	TTTT	19998	
605999	 movements abnormal bladder 	TTT	34452	
606000	 ruptured urinary bladder nontraumatic 	TTTT	30938	
606001	 contracture bladder 	TT	15120	
606002	 small bladder 	TT	15120	
606003	 clot blood bladder 	TTT	37250	
606004	 hypersensitive bladder 	TT	887	
606005	 irritation bladder 	TT	887	
606006	 instability detrusor 	TT	2248	
606007	 trabeculation bladder 	TT	9519	
606008	 urethritis nongonococcal 	TT	2725	
606009	 urethritis nongonorrhoeal 	TT	2725	
606010	 nonvenereal urethritis 	TT	2725	
606011	 abscess littre gland 	TTT	39257	
606012	 abscess suburethral 	TT	47249	
606013	 pyocele urethra 	TT	34347	
606014	 abscess bulbo urethral gland 	TTTT	69948	
606015	 abscess urethra gland 	TTT	16065	
606016	 cellulitis periurethral 	TT	26239	
606017	 abscess periurethral 	TT	2331	
606018	 urethritis atrophic postmenopausal 	TTT	15436	
606019	 urethritis acute 	TT	36670	
606020	 urethritis 	T	898	
606021	 syndrome posturethral 	TT	3439	
606022	 urethral syndrome 	TT	3439	
606023	 urethritis abacterial 	TT	3439	
606024	 abscess skene duct / gland 	TTOIO	20765	
606025	 skenitis 	T	20765	
606026	 adenitis skene glands 	TTT	20765	
606027	 abscess cowper gland 	TTT	53437	
606028	 abscess parameatal 	TT	11444	
606029	 meatitis 	T	11444	
606030	 ulcer meatal urethral 	TTT	10521	
606031	 ulcerative meatitis 	TT	10521	
606032	 contracture urethral orifice 	TTT	2063	
606033	 urethrocleisis 	T	2063	
606034	 urethral stenosis 	TT	2063	
606035	 stricture meatal urethra 	TTT	2063	
606036	 small urinary meatus male 	TTTT	20378	
606037	 urethra abnormality 	TT	9168	
606038	 pyelocystitis 	T	1289	
606039	 abscess urinary 	TT	1289	
606040	 urinary tract infection recurrent 	TTTT	1572	
606041	 bacteriuria asymptomatic 	TT	4993	
606042	 bacteriuria 	T	4993	
606043	 bacilluria 	T	4993	
606044	 urine pus 	TT	4453	
606045	 pyuria 	T	4453	
606046	 pyuria bacterial 	TT	4453	
606047	 abacterial pyuria 	TT	4453	
606048	 urinary tract infection chronic 	TTTT	2650	
606049	 uti urinary tract infection 	TTTT	150	
606050	 urinary tract infection acute 	TTTT	150	
606051	 fistula scroto urethral 	TTT	46396	
606052	 diverticulum urethra congenital 	TTT	5222	
606053	 diverticulum utricle 	TT	5222	
606054	 urethral papillomatosis 	TT	2465	
606055	 prolapse urethra female 	TTT	4220	
606056	 urine blood present 	TTT	507	
606057	 urethral spasm 	TT	33796	
606058	 urinary tract disease 	TTT	15525	
606059	 disorder urinary 	TT	15525	
606060	 epididymis absent acquired 	FFT	15752	
606061	 genital disease of the male 	TTIIT	15752	
606062	 problem male 	TT	15752	
606063	 prostate hypertrophy benign 	TTT	3045	
606064	 hyperplasia benign prostatic 	TTT	3045	
606065	 adenoma prostate 	TT	15346	
606066	 fibroma prostate 	TT	25711	
606067	 fibroadenoma prostate 	TT	25711	
606068	 prostate fibrotic 	TT	25711	
606069	 prostate hypertrophy 	TT	929	
606070	 hyperplasia prostate 	TT	929	
606071	 median bar prostate 	TTT	35676	
606072	 prostatitis acute 	TT	2292	
606073	 prostatitis chronic 	TT	2946	
606074	 abscess prostate 	TT	33389	
606075	 abscess periprostatic 	TT	33389	
606076	 prostatitis fungal 	TT	31348	
606077	 granuloma prostate 	TT	1053	
606078	 prostatitis 	T	1053	
606079	 cyst prostate 	TT	2041	
606080	 secretion accumulation prostate 	TTT	2041	
606081	 prostate nodule 	TT	2041	
606082	 calculus prostate 	TT	27479	
606083	 prostate congestion 	TT	4235	
606084	 hydrocele hernial 	TT	521	
606085	 hydrocele acquired 	TT	521	
606086	 hydrocoele 	T	521	
606087	 hydrocele spermatic cord 	TTT	521	
606088	 hydrocele testis 	TT	521	
606089	 hydrocele encysted 	TT	4010	
606090	 cellulitis testis 	TT	186	
606091	 cellulitis tunica vaginalis 	TTT	186	
606092	 orchitis acute 	TT	186	
606093	 orchitis not mumps 	TIF	186	
606094	 abscess testis / testicle 	TOIO	31339	
606095	 orchitis suppurative 	TT	31339	
606096	 orchitis septic 	TT	31339	
606097	 boil testis 	TT	31339	
606098	 infection testis 	TT	20184	
606099	 abscess epididymis 	TT	31334	
606100	 fibrotic epididymis 	TT	6745	
606101	 redundant foreskin 	TT	17456	
606102	 prepuce accessory 	TT	10447	
606103	 foreskin accessory 	TT	10447	
606104	 adhesions preputial 	TT	5084	
606105	 foreskin retracted 	TT	4000	
606106	 phimosis retracted 	TT	4000	
606107	 fertility reduced male 	TTT	766	
606108	 sterility male 	TT	766	
606109	 subfertility male 	TT	766	
606110	 aspermatogenesis 	T	3331	
606111	 sperm count low 	TTT	1615	
606112	 torsion penis 	TT	5438	
606113	 penis calcification 	TT	5438	
606114	 cyst penis 	TT	5438	
606115	 penile problem 	TT	5438	
606116	 penis leukoplakia 	TT	11844	
606117	 precancerous dyskeratosis penis 	TTT	11844	
606118	 kraurosis penis 	TT	61343	
606119	 sore prepucial 	TT	4468	
606120	 balanitis nongonococcal 	TT	4263	
606121	 erosive balanitis 	TT	4263	
606122	 prepuce inflammation 	TT	612	
606123	 inflammation foreskin 	TT	612	
606124	 tysonitis 	T	18408	
606125	 sclerosing cavernositis 	TT	18408	
606126	 infection penis 	TT	24696	
606127	 abscess corpus cavernosum 	TTT	29591	
606128	 abscess penis 	TT	29591	
606129	 boil penis 	TT	17537	
606130	 cellulitis penis 	TT	16304	
606131	 infection prepuce 	TT	1245	
606132	 penis inflamed 	TT	1245	
606133	 painful erection 	TT	11906	
606134	 plaque penis 	TT	3354	
606135	 dysplasia fibrous corpora cavernosa 	TTTT	3354	
606136	 penis indurated patch 	TTT	3354	
606137	 penis oedematous 	TT	20701	
606138	 impotence organic cause 	TTT	17894	
606139	 ulcer penis 	TT	5220	
606140	 ulcer prepuce 	TT	5220	
606141	 foreskin problem 	TT	331	
606142	 boil seminal vesicles 	TTT	59912	
606143	 abscess seminal vesicle 	TTT	59912	
606144	 spermatocele congenital 	TT	2510	
606145	 sperm granuloma 	TT	2510	
606146	 cyst spermatic cord 	TTT	2510	
606147	 torsion testis 	TT	4731	
606148	 torsion spermatic cord 	TTT	41358	
606149	 torsion testis appendix 	TTT	30968	
606150	 testis atrophy 	TT	12393	
606151	 abscess genital organ male 	TTTT	26457	
606152	 funiculitis endemic 	TT	26457	
606153	 funiculitis 	T	26457	
606154	 boil tunica vaginalis 	TTT	26457	
606155	 boil genital male 	TTT	26457	
606156	 cellulitis genital organ male 	TTTT	26457	
606157	 abscess scrotum 	TT	8713	
606158	 boil scrotum 	TT	17101	
606159	 cellulitis scrotum 	TT	4456	
606160	 infection scrotum 	TT	4456	
606161	 scrotal inflammation 	TT	4456	
606162	 boil vas deferens 	TTT	45080	
606163	 cellulitis spermatic cord 	TTT	45080	
606164	 boil spermatic cord 	TTT	45080	
606165	 abscess spermatic cord 	TTT	45080	
606166	 abscess vas deferens 	TTT	45080	
606167	 cellulitis vas deferens 	TTT	39631	
606168	 deferentitis 	T	39631	
606169	 vasitis nodosa 	TT	39631	
606170	 scrotum haematoma 	TT	4702	
606171	 haematocele male 	TT	5018	
606172	 haematoma genital organ male nontraumati 	TTTTT	5018	
606173	 bleeding from penis 	TIT	16419	
606174	 stricture glans penis 	TTT	20831	
606175	 stricture peno scrotal 	TTT	20831	
606176	 painful ejaculation semen 	TTT	19977	
606177	 cyst seminal vesicle 	TTT	45851	
606178	 cyst testis 	TT	4034	
606179	 testis lump 	TT	1475	
606180	 pneumatocele scrotal 	TT	3895	
606181	 sinus scrotal 	TT	3895	
606182	 scrotal fistula 	TT	3895	
606183	 emphysema scrotum 	TT	3895	
606184	 calculus scrotal 	TT	3895	
606185	 scrotal gangrene 	TT	3895	
606186	 cyst tunica vaginalis 	TTT	39723	
606187	 abscess tunica vaginalis 	TTT	39723	
606188	 orchalgia 	T	1639	
606189	 testis pain 	TT	1639	
606190	 breast absent acquired 	FFT	1730	
606191	 sagging breasts both 	TTT	1730	
606192	 mastopathia 	T	1730	
606193	 pendulous breasts 	TT	1730	
606194	 disease breast 	TT	1730	
606195	 breast non neoplastic disease 	TTTT	1730	
606196	 nonneoplastic breast condition 	TTT	1730	
606197	 dysplasia breast benign mammary 	TTTT	1310	
606198	 cyst nipple 	TT	586	
606199	 cyst breast 	TT	586	
606200	 cyst breast benign 	TTT	585	
606201	 hyperplasia breast cystic 	TTT	3233	
606202	 fibrocystic disease breast 	TTT	3233	
606203	 mastitis cystic 	TT	11622	
606204	 cystic hyperplastic mastopathy 	TTT	7467	
606205	 intersitial fibroadenosis breast 	TTT	2444	
606206	 breast adenofibrosis 	TT	2444	
606207	 fibroadenosis breast 	TT	2444	
606208	 adenosis breast 	TT	2444	
606209	 red breast 	TT	14999	
606210	 mastitis premenstrual 	TT	492	
606211	 acute mastitis 	TT	16048	
606212	 puberty mastitis 	TT	2952	
606213	 mastitis chronic 	TT	1003	
606214	 cystic disease breast chronic 	TTTT	1003	
606215	 abscess submammary 	TT	59561	
606216	 abscess retromammary 	TT	59561	
606217	 infection breast 	TT	2115	
606218	 breasts too large 	TTT	3497	
606219	 overdevelopment breast 	TT	3497	
606220	 hyperplasia breast 	TT	3497	
606221	 excessive development breast 	TTT	3497	
606222	 nipples big 	TT	3497	
606223	 big breasts 	TT	3497	
606224	 hypertrophy breast 	TT	3497	
606225	 gynaecomastia bilateral 	TT	8353	
606226	 hypertrophy breast bilateral 	TTT	8353	
606227	 hypertrophy breast unilateral 	TTT	2128	
606228	 nipple fissure 	TT	15080	
606229	 nipple cracked 	TT	24365	
606230	 fat necrosis breast 	TTT	5615	
606231	 small breast unilateral 	TTT	15498	
606232	 breast atrophy 	TT	15498	
606233	 breasts too small 	TTT	15498	
606234	 cyst milk 	TT	6845	
606235	 deformity breast 	TT	27589	
606236	 breasts unequal size 	TTT	27589	
606237	 sensitive nipples 	TT	27589	
606238	 breast skin puckering 	TTT	27589	
606239	 nipple colour change 	TTT	27589	
606240	 mastalgia 	T	602	
606241	 pain breast 	TT	602	
606242	 tender breast 	TT	602	
606243	 mastodynia 	T	602	
606244	 sore breast 	TT	7401	
606245	 hard spot breast 	TTT	841	
606246	 lump breast 	TT	841	
606247	 lesion breast 	TT	841	
606248	 nodule breast 	TT	841	
606249	 bump breast 	TT	841	
606250	 mass breast 	TT	841	
606251	 nipple inversion 	TT	2247	
606252	 retracted nipple 	TT	3614	
606253	 swelling breast generalised 	TTT	3183	
606254	 swelling breast local 	TTT	3183	
606255	 swelling breast 	TT	3183	
606256	 abscess subareolar 	TT	1064	
606257	 abscess nipple 	TT	1064	
606258	 abscess mammary gland 	TTT	1064	
606259	 abscess areola breast 	TTT	1064	
606260	 abscess premammary 	TT	1064	
606261	 abscess intramammary 	TT	1064	
606262	 haematoma breast 	TT	15444	
606263	 pelvic inflammation female 	TTT	1815	
606264	 sepsis pelvic female 	TTT	1815	
606265	 salpingitis acute 	TT	591	
606266	 oophoritis chronic 	TT	52261	
606267	 salpingitis chronic 	TT	4662	
606268	 abscess fallopian tube 	TTT	23382	
606269	 abscess corpus luteum 	TTT	11795	
606270	 abscess ovary 	TT	11795	
606271	 abscess tubal 	TT	2929	
606272	 abscess oviduct 	TT	2929	
606273	 tubo ovarian mass 	TTT	2929	
606274	 abscess tubo ovarian 	TTT	2929	
606275	 abscess mesosalpinx 	TT	2929	
606276	 oophoritis 	T	29511	
606277	 salpingo oophoritis 	TT	14824	
606278	 pelvic abscess 	TT	1980	
606279	 abscess periuterine 	TT	2349	
606280	 abscess vesico uterine pouch 	TTTT	2349	
606281	 abscess suprapelvic 	TT	2349	
606282	 abscess parauterine 	TT	2349	
606283	 abscess round ligament 	TTT	2349	
606284	 abscess uterus ligament 	TTT	2349	
606285	 abscess retrouterine 	TT	2349	
606286	 pelvic abscess female 	TTT	2349	
606287	 abscess broad ligament 	TTT	2349	
606288	 pelvic cellulitis female 	TTT	15687	
606289	 cellulitis round ligament 	TTT	15687	
606290	 cellulitis periuterine 	TT	15687	
606291	 parametritis 	T	2780	
606292	 pelvic fibrosis 	TT	3708	
606293	 peritoneal adhesions pelvic female 	TTTT	3708	
606294	 pelvis frozen 	TT	3708	
606295	 pelvic adhesions female 	TTT	3708	
606296	 pelvic inflammation 	TT	2371	
606297	 pelvic infection female 	TTT	1086	
606298	 endometritis 	T	1762	
606299	 pyometra 	T	15176	
606300	 abscess uterus 	TT	15176	
606301	 cellulitis cervical uterus 	TTT	1303	
606302	 cervicitis 	T	1303	
606303	 endocervicitis 	T	675	
606304	 cervicitis acute 	TT	17664	
606305	 abscess uterus neck 	TTT	17664	
606306	 abscess cervical stump uterine 	TTTT	17664	
606307	 chronic cervicitis with erosion 	TTIT	11115	
606308	 abscess nabothian follicle 	TTT	16049	
606309	 vaginitis nonspecific 	TT	487	
606310	 vaginitis 	T	487	
606311	 abscess vulvovaginal 	TT	487	
606312	 abscess vaginal 	TT	487	
606313	 canal of nuck abscess 	TITT	487	
606314	 abscess vaginorectal 	TT	487	
606315	 pyogenic vaginal infection 	TTT	487	
606316	 vaginal infection 	TT	487	
606317	 abscess paravaginal 	TT	487	
606318	 vulvitis senile 	TT	1035	
606319	 vulvitis bacterial 	TT	1035	
606320	 vulvitis 	T	1035	
606321	 vulvitis acute 	TT	1035	
606322	 cellulitis vulva 	TT	1035	
606323	 cellulitis labium 	TT	1035	
606324	 vulvovaginitis 	T	1893	
606325	 vulvitis chronic 	TT	12408	
606326	 vaginitis bacterial 	TT	5014	
606327	 vaginitis streptococcal 	TT	5014	
606328	 cyst bartholin 	TT	597	
606329	 bartholin gland abscess 	TTT	1569	
606330	 infection bartholin gland 	TTT	1569	
606331	 bartholin adenitis 	TT	1569	
606332	 abscess vulva 	TT	4187	
606333	 abscess labium majus / minus 	TTOIO	4187	
606334	 boil vulva 	TT	9186	
606335	 vulval ulcer 	TT	2008	
606336	 vulval sore 	TT	2008	
606337	 sore perineal 	TT	2008	
606338	 vaginal ulcer 	TT	8658	
606339	 cyst labium 	TT	7621	
606340	 abscess genital organ female 	TTTT	20045	
606341	 genitalia disease female 	TTT	2665	
606342	 problem female 	TT	2665	
606343	 problem gynaecological 	TT	2665	
606344	 adenofibrosis endometroid 	TT	499	
606345	 cyst chocolate ovary 	TTT	16143	
606346	 vaginal endometriosis 	TT	37392	
606347	 intestinal endometriosis 	TT	20194	
606348	 syndrome descending perineum 	TTT	6819	
606349	 hernia cul de sac 	TTTT	1903	
606350	 hernia vaginal 	TT	1903	
606351	 vaginal prolapse 	TT	1903	
606352	 pariial bladder prolapse 	TTT	211	
606353	 cystocele 	T	211	
606354	 prolapse cystocele 	TT	211	
606355	 rectocele 	T	2285	
606356	 urethrocele female 	TT	4575	
606357	 uterus eversion 	TT	9356	
606358	 uterus procidentia 	TT	3986	
606359	 uterovaginal prolapse 	TT	1057	
606360	 hysterocele 	T	1057	
606361	 prolapse cervix 	TT	1057	
606362	 enterocele vaginal 	TT	2846	
606363	 pelvis relaxed 	TT	37373	
606364	 relaxation pelvic floor 	TTT	37373	
606365	 vaginal fistula 	TT	7224	
606366	 fistula urethrovaginal 	TT	19972	
606367	 vesico vaginal fistula 	TTT	16466	
606368	 cyst tubo ovarian 	TTT	957	
606369	 ovary cyst 	TT	957	
606370	 pseudomucinous cyst ovary 	TTT	957	
606371	 cyst follicle 	TT	15786	
606372	 cyst graafian follicle 	TTT	40974	
606373	 cyst corpus luteum 	TTT	20030	
606374	 ruptured ovarian follicle 	TTT	5588	
606375	 ovarian dystrophy 	TT	38283	
606376	 suspicion of ovarian dystrophy 	TITT	38283	
606377	 ovary absent acquired 	FFT	37364	
606378	 prolapsed ovary 	TT	3578	
606379	 torsion fimbrial cyst 	TTT	20337	
606380	 torsion ovary 	TT	16037	
606381	 twisted ovary 	TT	16037	
606382	 cyst broad ligament 	TTT	5207	
606383	 cyst oviduct 	TT	14957	
606384	 uterus polyp 	TT	2742	
606385	 polyp endometrial 	TT	1269	
606386	 uterus subinvolution 	TT	23474	
606387	 uterus distention 	TT	2503	
606388	 uterus large 	TT	16024	
606389	 hyperplasia endometrium 	TT	753	
606390	 traumatic uterine adhesions 	TTT	20183	
606391	 syndrome asherman 	TT	20183	
606392	 uterus anteflexed 	TT	18120	
606393	 uterus retrodisplacement 	TT	1896	
606394	 uterus retroverted 	TT	1896	
606395	 cyst uterus 	TT	4258	
606396	 vascular cervix 	TT	33923	
606397	 persistent cervical erosion 	TTT	584	
606398	 erosion cervical 	TT	584	
606399	 ulcer cervix 	TT	23408	
606400	 ectropion cervix 	TT	2165	
606401	 dysplasia cervix 	TT	1910	
606402	 squamous cell metaplasia cervix 	TTTT	17548	
606403	 leukoplakia cervix 	TT	19999	
606404	 erythroplasia cervix 	TT	19999	
606405	 old laceration cervix 	TTT	15759	
606406	 cervix torn 	TT	15759	
606407	 cervical tear 	TT	15759	
606408	 stenosis cervix 	TT	3943	
606409	 stricture cervix 	TT	3943	
606410	 hyperplasia cervix 	TT	2504	
606411	 polyp endocervical 	TT	706	
606412	 polyp cervical 	TT	706	
606413	 cyst cervix uteri 	TTT	915	
606414	 cervical cyst gynaecological 	TTT	915	
606415	 vaginal adenosis 	TT	5582	
606416	 vaginal disorder 	TT	5582	
606417	 vaginal swelling 	TT	5582	
606418	 vaginal kraurosis 	TT	14935	
606419	 vaginal leukoplakia 	TT	27882	
606420	 postpartal adhesions old 	TTT	20954	
606421	 occlusion bridal 	TT	23346	
606422	 vaginal outlet contracture 	TTT	19940	
606423	 vaginal stenosis 	TT	19940	
606424	 tightness introitus 	TT	3235	
606425	 vaginal introitus small 	TTT	3235	
606426	 vaginal laceration old postpartal 	TTTT	30440	
606427	 vaginal discharge atypical 	TTT	10516	
606428	 vaginal fluor 	TT	10516	
606429	 leukorrhoea 	T	10516	
606430	 vaginal discharge nonvenereal 	TTT	16189	
606431	 vaginal polyp 	TT	5399	
606432	 vaginal cyst 	TT	1960	
606433	 clitoral bleeding 	TT	39841	
606434	 vulval dystrophy 	TT	5059	
606435	 vulval kraurosis 	TT	8953	
606436	 vulval leucoplakia 	TT	4193	
606437	 vulvitis leukoplakic 	TT	4193	
606438	 vulva atrophy 	TT	4213	
606439	 vulva redundant 	TT	6403	
606440	 vulva haematoma 	TT	16525	
606441	 vulva polyp 	TT	2523	
606442	 cyst vulva 	TT	2699	
606443	 vulval swelling 	TT	5125	
606444	 labia minora adherent 	TTT	4879	
606445	 syndrome mittelschmerz 	TT	4287	
606446	 pain ovulation 	TT	4287	
606447	 pain mid cycle 	TTT	4287	
606448	 pain intermenstrual 	TT	4287	
606449	 menstrual cramps 	TT	693	
606450	 periods painful 	TT	1666	
606451	 tension premenstrual 	TT	603	
606452	 syndrome premenstrual 	TT	603	
606453	 tension menstrual 	TT	603	
606454	 pelvic congestion female 	TTT	5578	
606455	 symptoms pelvic 	TT	15136	
606456	 haemorrhage uterine abnormal 	TTT	5097	
606457	 periods abnormal 	TT	5097	
606458	 menstruation abnormal 	TT	5097	
606459	 menstrual disorder 	TT	5097	
606460	 abnormal bleeding gynaecological 	TTT	5097	
606461	 retrograde menstruation 	TT	5097	
606462	 amenorrhoea secondary 	TT	2086	
606463	 contraceptive pill post amenorrhoea 	TTTT	12295	
606464	 scanty periods 	TT	15438	
606465	 scanty menstruation 	TT	15438	
606466	 rare menstruation 	TT	1153	
606467	 menstrual flow large 	TTT	128	
606468	 menstruation excessive primary 	TTT	128	
606469	 excessive menstrual flow 	TTT	128	
606470	 periods heavy 	TT	812	
606471	 menstruation frequent 	TT	1077	
606472	 polymenorrhagia 	T	1077	
606473	 menarche disorder 	TT	16518	
606474	 menstruation irregular 	TT	1065	
606475	 periods irregular 	TT	1065	
606476	 menstruation delayed 	TT	10200	
606477	 mid cycle bleed 	TTT	15131	
606478	 suppression ovulation 	TT	17826	
606479	 spotting intermenstrual 	TT	1039	
606480	 btb breakthrough bleeding 	TTT	179	
606481	 menorrhagia menopausal 	TT	15022	
606482	 menstruation excessive menopausal 	TTT	15022	
606483	 haemorrhage uterine climateric abnormal 	TTTT	15022	
606484	 uterine haemorrhage postmenopausal 	TTT	1583	
606485	 postmenopausal menorrhagia 	TT	1583	
606486	 normal menopause 	TT	4043	
606487	 hot flushes 	TT	814	
606488	 menopausal hot flushes 	TTT	814	
606489	 menopausal symptoms 	TT	828	
606490	 syndrome menopausal 	TT	828	
606491	 symptoms climacteric female 	TTT	828	
606492	 vaginitis atrophic 	TT	707	
606493	 vaginal atrophy 	TT	707	
606494	 vaginitis senile 	TT	1944	
606495	 radium / radiation menopause 	OIOT	19954	
606496	 difficulty conception 	TT	1808	
606497	 subfertility female 	TT	1808	
606498	 sterility female 	TT	1808	
606499	 sterility female primary 	TTT	1808	
606500	 ovulation failure 	TT	4977	
606501	 anovulation 	T	16360	
606502	 obturation fallopian tube 	TTT	8352	
606503	 fallopian tube blocked 	TTT	8352	
606504	 stricture fallopian tube 	TTT	8352	
606505	 primary infertility 	TT	2014	
606506	 secondary infertility 	TT	1943	
606507	 sterility female secondary 	TTT	1943	
606508	 haematoma genital organ female nontrauma 	TTTTT	20224	
606509	 genito urinary infection 	TTT	20082	
606510	 mole hydatidiform 	TT	4530	
606511	 pregnancy ectopic 	TT	1744	
606512	 carneous mole aborted 	TTT	3082	
606513	 unmarried termination pregnancy 	TTT	2187	
606514	 termination pregnancy psychiatric reason 	TTTT	2187	
606515	 induced abortion legal 	TTT	2187	
606516	 induced abortion social reasons 	TTTT	2187	
606517	 pregnancy terminated medical reasons 	TTTT	2187	
606518	 abortion induced social reasons unmarrie 	TTTTT	2187	
606519	 induced abortion 	TT	2187	
606520	 induced abortion medical indication 	TTTT	2187	
606521	 termination pregnancy medical indication 	TTTT	2187	
606522	 termination pregnancy prostaglandin 	TTT	255	
606523	 top termination of pregnancy 	TTIT	255	
606524	 abortion induced with complications 	TTIT	41098	
606525	 products of conception passed 	TITT	1439	
606526	 abortion 	T	1439	
606527	 complicated abortion 	TT	45806	
606528	 rpc retained products conception 	TTTT	1879	
606529	 incomplete abortion 	TT	1879	
606530	 complete abortion 	TT	1886	
606531	 septic miscarriage 	TT	20152	
606532	 abortion with sepsis 	TIT	20152	
606533	 septic abortion 	TT	20152	
606534	 postabortion bleeding 	TT	20307	
606535	 pregnancy complication 	TT	2638	
606536	 pregnancy abnormal 	TT	2638	
606537	 problem pregnancy 	TT	2638	
606538	 pregnancy bleeding 	TT	3766	
606539	 pregnancy haemorrhage 	TT	3766	
606540	 threatened miscarrage 	TT	906	
606541	 haemorrhage antepartum 	TT	2787	
606542	 placenta praevia delivered 	TTT	46097	
606543	 placenta praevia complicating delivery 	TTTT	46097	
606544	 placenta praevia noted at delivery 	TTTIT	46097	
606545	 placenta abruptio 	TT	4723	
606546	 premature separation placenta 	TTT	23583	
606547	 placenta abruptio complicating delivery 	TTTT	23583	
606548	 placenta praevia central 	TTT	447	
606549	 pregnancy placenta praevia 	TTT	447	
606550	 placenta praevia lateral 	TTT	447	
606551	 placenta praevia partial 	TTT	447	
606552	 praevia placenta 	TT	447	
606553	 placenta praevia marginal 	TTT	447	
606554	 delivery antepartum haemorrhage 	TTT	5464	
606555	 delivery after antepartum haemorrhage 	TTTT	16320	
606556	 toxaemia pregnancy 	TT	617	
606557	 pregnancy pre eclampsia 	TTT	617	
606558	 toxaemia pre eclamptic 	TTT	617	
606559	 toxaemia 	T	617	
606560	 eclampsia post partum 	TTT	16421	
606561	 pregnancy eclampsia 	TT	3364	
606562	 pregnancy hypertension 	TT	3421	
606563	 pregnancy bp raised at end of 	TTTITI	3421	
606564	 vomiting pernicious pregnancy 	TTT	10185	
606565	 pregnancy hyperemesis 	TT	3327	
606566	 pregnancy nausea 	TT	15670	
606567	 pregnancy nausea and vomiting 	TTIT	15670	
606568	 sickness pregnancy 	TT	15670	
606569	 pregnancy morning sickness 	TTT	5832	
606570	 vomiting pregnancy 	TT	11760	
606571	 labour premature 	TT	3004	
606572	 labour false 	TT	23316	
606573	 possible labour 	TT	23525	
606574	 missed labour 	TT	23525	
606575	 premature labour undelivered 	TTT	15167	
606576	 labour premature normal delivery 	TTTT	15167	
606577	 delivery premature in hospital / maternity 	TTIOIO	15167	
606578	 premature delivery mother 	TTT	3365	
606579	 labour premature with complications 	TTIT	3365	
606580	 postmature at delivery mother 	TITT	23373	
606581	 pregnancy weight gain excessive 	TTTT	12521	
606582	 pregnancy albuminuria 	TT	23334	
606583	 puerperal albuminuria 	TT	23334	
606584	 pregnancy nephritis 	TT	38312	
606585	 syndrome nephrotic pregnancy 	TTT	38312	
606586	 habitual abortion 	TT	16223	
606587	 pregnancy cystitis 	TT	2602	
606588	 pregnancy genital infection 	TTT	27451	
606589	 puerperal cystitis 	TT	16017	
606590	 pyelocystitis pregnancy 	TT	3029	
606591	 urinary infection pregnancy 	TTT	3029	
606592	 pyelitis pregnancy 	TT	3029	
606593	 pyelitis puerperium 	TT	5721	
606594	 pyelocystitis puerperium 	TT	5721	
606595	 urinary infecion puerperium 	TTT	5721	
606596	 vaginitis pregnancy 	TT	15634	
606597	 pregnancy glycosuria 	TT	5693	
606598	 hick contractions 	TT	17402	
606599	 false uterine contractions 	TTT	17402	
606600	 pruritus of pregnancy 	TIT	16775	
606601	 pregnancy infection during 	TTT	23485	
606602	 rubella contact in early pregnancy 	TTITT	2937	
606603	 diabetes pregnancy 	TT	8446	
606604	 pregnancy anaemia 	TT	1771	
606605	 pregnancy macrocytic anaemia 	TTT	1771	
606606	 pregnancy anaemia megaloblastic 	TTT	1771	
606607	 hyperchromic anaemia pregnancy 	TTT	1771	
606608	 puerperal anaemia 	TT	2054	
606609	 pregnancy iron deficiency anaemia 	TTTT	1668	
606610	 pregnancy anaemia hypochromic 	TTT	1668	
606611	 cannabis ingestion in pregnancy 	TTIT	41473	
606612	 pregnancy operation during 	TTT	24951	
606613	 pregnancy high risk 	TTT	10261	
606614	 normal baby delivered normally 	TTTT	4780	
606615	 svd spontaneous vertex delivery 	TTTT	239	
606616	 pregnancy multiple 	TT	15433	
606617	 twin pregnancy delivery 	TTT	1357	
606618	 twins identical delivered 	TTT	1357	
606619	 twins non identical delivered 	TTTT	1357	
606620	 pregnancy malposition foetus 	TTT	23617	
606621	 presentation breech mother 	TTT	2549	
606622	 malpresentation at delivery breech 	TITT	2549	
606623	 delivery assisted breech 	TTT	2943	
606624	 breech birth baby 	TTT	463	
606625	 delivery breech mother 	TTT	463	
606626	 delivery breech 	TT	463	
606627	 transverse lie delivery 	TTT	1593	
606628	 malpresentation at delivery crossbirth 	TITT	64476	
606629	 delivery crossbirth mother 	TTT	64476	
606630	 shoulder presentation at delivery 	TTIT	17195	
606631	 malpresentation at delivery face 	TITT	15954	
606632	 presentation face delivery mother 	TTTT	15954	
606633	 face presentation birth baby 	TTTT	38280	
606634	 malpresentation at delivery brow 	TITT	15356	
606635	 pregnancy disproportion 	TT	14739	
606636	 disproportion cephalopelvic 	TT	14739	
606637	 pregnancy pelvis bony abnormal 	TTTT	61652	
606638	 delivery contracted pelvis 	TTT	43322	
606639	 foetopelvic disproportion complicating d 	TTTT	44199	
606640	 disproportion at delivery 	TIT	46098	
606641	 pregnancy bicornate uterus 	TTT	28225	
606642	 delivery bicornate uterus 	TTT	31327	
606643	 prolapsed uterus pregnancy 	TTT	15254	
606644	 rhesus incompatibility pregnancy / puerper 	TTOIO	15241	
606645	 death in utero 	TIT	1413	
606646	 small for dates foetus 	TTTT	23495	
606647	 hydramnios at delivery 	TIT	2239	
606648	 premature rupture membranes mother 	TTTT	424	
606649	 leaking amniotic fluid 	TTT	23418	
606650	 pregnancy induction labour failed 	TTTT	7076	
606651	 grand multipara 	TT	16350	
