text	read	priority	comment
undiagnosed	not diagnosed	3	
undiagnosed	not yet diagnosed	3	
unknown	uncertain	4	
unsp	unspecified	4	
unspec	unspecified	4	
unspecified	unsp	4	
unspecified	unspec	4	
unweill	unwell	1	
up	high	1	
upper arm	arm	1	
upper arm	upper limb	1	
upper end humerus	proximal humerus	1	
upper end of humerus	proximal humerus	3	
upper end of radius	proximal radius	3	
upper end of ulna	proximal ulna	3	
upper end radius	proximal radius	1	
upper end ulna	proximal ulna	1	
upper motor neuron	u m n	5	
upper motor neuron	umn	5	
upper motor neurone	u m n	5	
upper motor neurone	umn	5	
upper respiratory tract infection	u r t i	4	
upper respiratory tract infection	urti	4	
urinary tract infection	u t i	5	
urinary tract infection	uti	5	
urti	upper respiratory tract infection	4	
urticaria	urticarial	5	
urticarial	urticaria	5	
uterine	uterus	5	
uterus	uterine	5	
uti	urinary tract infection	5	
v e	vaginal examination	5	
v s d	ventricular septal defect	5	
vaccin	vaccination	4	
vaccination	immunisation	5	
vaccination	immunization	5	
vaccination	vaccin	4	
vaccn	immunisation	3	
vaccn	vaccination	3	
vag	vagina	4	
vag	vaginal	5	
vagina	vag	4	
vaginal	pv	3	
vaginal	vag	5	
vaginal examination	v e	5	
vaginal examination	ve	5	
vascular	cardiovascular	1	
vasular	vascular	2	
ve	vaginal examination	5	
veh	vehicle	4	
vehicle	veh	4	
ventricle	ventricular function	3	
ventricular	ventricular cardiac	3	
ventricular cardiac	ventricular	3	
ventricular cardiac aneurysm	left ventricular aneurysm	4	
ventricular function	ventricle	3	
ventricular premature beats	vpb	3	
ventricular septal defect	v s d	5	
ventricular septal defect	vsd	5	
vertebra	vertebral	5	
vertebral	vertebra	5	
very poor	severely impaired	5	
vessel	vessell	5	
vessel coronary artery disease	coronary vessel disease	5	
vessel disease	coronary vessel disease	2	
vessel disease	diseased vessel	5	
vessel disease	diseased vessels	5	
vessell	vessel	5	
vomit	vomiting	4	
vomited	vomiting	3	
vomiting	vomit	4	
vomiting	vomiting symptom	4	
vomiting	vomiting symptoms	4	
vomiting symptom	vomiting	4	
vomiting symptoms	vomiting	4	
vomitting	vomiting	3	
vommiting	vomiting	3	
vpb	ventricular premature beats	3	
vsd	ventricular septal defect	5	
vulva	vulval	4	
vulval	vulva	4	
walking	mild exertion	2	
was hosp	recently in hospital	1	
was hospital	recently in hospital	1	
was in hosp	recently in hospital	2	
was in hospital	recently in hospital	2	
water transport	wt	3	
well hydrated	not dehydrated	5	
went a e	casualty self referral	1	
went cas	casualty self referral	3	
went casualty	casualty self referral	3	
went hospital	self referral to hospital	3	
went to a and e	casualty self referral	4	
went to a e	casualty self referral	1	
went to cas	casualty self referral	3	
went to casualty	casualty self referral	3	
went to hospital	self referral to hospital	3	
wheeze	wheezing	5	
wheeze	wheezy	5	
wheezing	wheeze	5	
wheezing	wheezy	5	
wheezy	wheeze	5	
wheezy	wheezing	5	
whip lash	whiplash	5	
whiplash	whip lash	5	
whiplash	whiplash injury	2	
without	no	4	
wnd	wound	3	
wrist	arm	1	
wrist	upper limb	1	
wrist	wrist joint	5	
wrist joint	wrist	5	
wt loss	weight loss	3	
